AirlineName,MaxDepartureDelayMinutes
"Southwest Airlines Co.: WN",556
"Frontier Airlines Inc.: F9",588
"Alaska Airlines Inc.: AS",815
"Spirit Air Lines: NK",984
"PSA Airlines Inc.: OH",1013
"Hawaiian Airlines Inc.: HA",1014
"Endeavor Air Inc.: 9E",1234
"Delta Air Lines Inc.: DL",1266
"Republic Airline: YX",1299
"Allegiant Air: G4",1416
"Mesa Airlines Inc.: YV",1417
"United Air Lines Inc.: UA",1425
"Envoy Air: MQ",1462
"SkyWest Airlines Inc.: OO",1464
"JetBlue Airways: B6",1507
"ExpressJet Airlines LLC: EV",1564
"American Airlines Inc.: AA",2315
