AirlineName,MaxEarlyDepartureMinutes
"SkyWest Airlines Inc.: OO",-66
"Republic Airline: YX",-59
"Allegiant Air: G4",-36
"Alaska Airlines Inc.: AS",-36
"PSA Airlines Inc.: OH",-31
"Mesa Airlines Inc.: YV",-28
"Frontier Airlines Inc.: F9",-28
"Envoy Air: MQ",-28
"United Air Lines Inc.: UA",-26
"Endeavor Air Inc.: 9E",-26
"JetBlue Airways: B6",-25
"Spirit Air Lines: NK",-24
"Hawaiian Airlines Inc.: HA",-23
"Delta Air Lines Inc.: DL",-21
"ExpressJet Airlines LLC: EV",-21
"Southwest Airlines Co.: WN",-20
"American Airlines Inc.: AA",-20
