FlightDate,NumFlights,AvgFlightsPrev3Days
2019-07-01,20577,20577.00
2019-07-02,20100,20338.50
2019-07-03,19872,20183.00
2019-07-04,16788,18920.00
2019-07-05,18142,18267.33
2019-07-06,18982,17970.67
2019-07-07,21667,19597.00
2019-07-08,22330,20993.00
2019-07-09,21984,21993.67
2019-07-10,22146,22153.33
2019-07-11,22327,22152.33
2019-07-12,22351,22274.67
2019-07-13,19180,21286.00
2019-07-14,21666,21065.67
2019-07-15,22365,21070.33
2019-07-16,22017,22016.00
2019-07-17,22170,22184.00
2019-07-18,22354,22180.33
2019-07-19,22387,22303.67
2019-07-20,19196,21312.33
2019-07-21,21683,21088.67
2019-07-22,22372,21083.67
2019-07-23,22021,22025.33
2019-07-24,22166,22186.33
2019-07-25,22365,22184.00
2019-07-26,22392,22307.67
2019-07-27,19198,21318.33
2019-07-28,21687,21092.33
2019-07-29,22371,21085.33
2019-07-30,22015,22024.33
2019-07-31,22158,22181.33
FlightDate,1,14724.67
